Question,Label,Tagged
How much milk is required for cinnamon-sugar popcorn?,QTY,How much <ing>milk</ing> is required for <name>cinnamon-sugar</name> <name>popcorn</name> ?
Do you know how long it takes Tuna Delicious to prepare?,TIME,Do you know how long it takes <name>Tuna</name> <name>Delicious</name> to prepare ?
How long does it take for preparing cranberry coleslaw?,TIME,How long does it take for preparing <name>cranberry</name> <name>coleslaw</name> ?
Ingredients to grill amazing all-purpose marinade,ING,Ingredients to <method>grill</method> amazing <name>all-purpose</name> <name>marinade</name>
How many zucchinis to boil vegetarian sloppy joes?,QTY,How many <ing>zucchinis</ing> to <method>boil</method> <name>vegetarian</name> <name>sloppy</name> <name>joes</name> ?
Which recipes for making pear?,NAME,Which recipes for making <ing>pear</ing> ?
How much water is required for Spicy Peach Chutney?,QTY,How much <ing>water</ing> is required for <name>Spicy</name> <name>Peach</name> <name>Chutney</name> ?
"What’s the best way to prepare milk, flour and nectar?",DIR,"What ’ s the best way to prepare <ing>milk</ing> , <ing>flour</ing> and <ing>nectar</ing> ?"
Which utensils should you use when making Creamy Zucchini Soup?,EQUIP,Which utensils should you use when making <name>Creamy</name> <name>Zucchini</name> <name>Soup</name> ?
List of Equip. Needed for preparing the dragon fruit colada?,EQUIP,List of Equip . Needed for preparing the <name>dragon</name> <name>fruit</name> <name>colada</name> ?
How much mustard do I use for basil pesto hummus?,QTY,How much <ing>mustard</ing> do I use for <name>basil</name> <name>pesto</name> <name>hummus</name> ?
How do I fry dish Creamy Beet Greens?,DIR,How do I <method>fry</method> dish <name>Creamy</name> <name>Beet</name> <name>Greens</name> ?
What's in marinated olives?,ING,What 's in <name>marinated</name> <name>olives</name> ?
How do I steam turkey burrito perfectly?,DIR,How do I <method>steam</method> <name>turkey</name> <name>burrito</name> perfectly ?
How long to bake fancy ramen?,TIME,How long to <method>bake</method> <name>fancy</name> <name>ramen</name> ?
What the heck is fried eggnog dish?,OBJ,What the heck is <name>fried</name> <name>eggnog</name> dish ?
Do you know good spanish recipes to simmer?,NAME,Do you know good <type>spanish</type> recipes to <method>simmer</method> ?
what is vegetarian borscht?,OBJ,
What are some quick Fruit Dip recipes?,NAME,What are some <type>quick</type> <type>Fruit</type> <type>Dip</type> recipes ?
I need 10 different recipes of Snack Chip?,NAME,I need 10 different recipes of <type>Snack</type> <type>Chip</type> ?
red velvet-center cheesecake?,ALL,<name>red</name> <name>velvet-center</name> <name>cheesecake</name> ?
What can I mix with wine and water to steam blonde brownies i?,ING,What can I mix with <ing>wine</ing> and <ing>water</ing> to <method>steam</method> <name>blonde</name> <name>brownies</name> <name>i</name> ?
Classic Cuban-Style Picadillo recipe?,ALL,<name>Classic</name> <name>Cuban-Style</name> <name>Picadillo</name> recipe ?
ramp quiche - the best way to stew it?,DIR,<name>ramp</name> <name>quiche</name> - the best way to <method>stew</method> it ?
How much powder is required for tiramisu all'estate semplice?,QTY,How much <ing>powder</ing> is required for <name>tiramisu</name> <name>all'estate</name> <name>semplice</name> ?
what is in dish salata?,ING,what is in dish <name>salata</name> ?
Time for simmering Mexico Chiquito Punch,TIME,Time for <method>simmering</method> <name>Mexico</name> <name>Chiquito</name> <name>Punch</name>
Let me know something about dish Eileen's Meatloaf?,OBJ,Let me know something about dish <name>Eileen</name> <name>'s</name> <name>Meatloaf</name> ?
What’s the best way to bake two medium carrots and shrimp?,DIR,What ’ s the best way to <method>bake</method> two <ing>medium</ing> <ing>carrots</ing> and <ing>shrimp</ing> ?
How many packs of white rice need to simmer easy whiskey slush?,QTY,How many packs of <ing>white</ing> <ing>rice</ing> need to <method>simmer</method> <name>easy</name> <name>whiskey</name> <name>slush</name> ?
What should I know about lemon-blueberry yeast bread?,OBJ,What should I know about <name>lemon-blueberry</name> <name>yeast</name> <name>bread</name> ?
"I have 3 yams, two shrimps. Can you suggest what recipe I use to use them all?",NAME,"I have 3 <ing>yams</ing> , two <ing>shrimps</ing> . Can you suggest what recipe I use to use them all ?"
Nutrition info of Radler?,NUT,Nutrition info of <name>Radler</name> ?
how much milk should be used to roast Cajun Home Fries?,QTY,how much <ing>milk</ing> should be used to <method>roast</method> <name>Cajun</name> <name>Home</name> <name>Fries</name> ?
Which kitchen devices do you need to prepare dish cranberry salad v?,EQUIP,Which kitchen devices do you need to prepare dish <name>cranberry</name> <name>salad</name> <name>v</name> ?
How long do I stew mediterranean-twist salmon?,TIME,How long do I <method>stew</method> <name>mediterranean-twist</name> <name>salmon</name> ?
Which recipes for stewing mushroom?,NAME,Which recipes for <method>stewing</method> <ing>mushroom</ing> ?
What's in Egg Salad Sandwiches?,ING,What 's in <name>Egg</name> <name>Salad</name> <name>Sandwiches</name> ?
How many mangos do I need for classic cheese fondue dish?,QTY,How many <ing>mangos</ing> do I need for <name>classic</name> <name>cheese</name> <name>fondue</name> dish ?
How many mozzarella cheeses do I need for Lemon Lime Float?,QTY,How many <ing>mozzarella</ing> <ing>cheeses</ing> do I need for <name>Lemon</name> <name>Lime</name> <name>Float</name> ?
"What can I mix with wine, mustard and water to stew Deer Chop Hurry?",ING,"What can I mix with <ing>wine</ing> , <ing>mustard</ing> and <ing>water</ing> to <method>stew</method> <name>Deer</name> <name>Chop</name> <name>Hurry</name> ?"
What nutritional value do Skewered Grilled Potatoes have?,NUT,What nutritional value do <name>Skewered</name> <name>Grilled</name> <name>Potatoes</name> have ?
What nutritional value do grilled eggplant rollups have?,NUT,What nutritional value do <name>grilled</name> <name>eggplant</name> <name>rollups</name> have ?
Nutrition info of 3-Ingredient Swedish Meatballs?,NUT,Nutrition info of <name>3-Ingredient</name> <name>Swedish</name> <name>Meatballs</name> ?
Wet Burrito recipe?,ALL,
Help me to simmer the Easy Lemon Pie dish.,DIR,Help me to <method>simmer</method> the <name>Easy</name> <name>Lemon</name> <name>Pie</name> dish .
Description about Spicy Meatless Meatballs ,OBJ,Description about <name>Spicy</name> <name>Meatless</name> <name>Meatballs</name>
what is in whipped mashed potatoes?,ING,
Which utensils is required for dish beef paprika?,EQUIP,Which utensils is required for dish <name>beef</name> <name>paprika</name> ?
Need some help to stew Bermuda Fish Chowder?,DIR,Need some help to <method>stew</method> <name>Bermuda</name> <name>Fish</name> <name>Chowder</name> ?
Which kitchen devices do you need to roast Spaghetti Pie II?,EQUIP,Which kitchen devices do you need to <method>roast</method> <name>Spaghetti</name> <name>Pie</name> <name>II</name> ?
Ingredients to steam Sabayon,ING,Ingredients to <method>steam</method> <name>Sabayon</name>
what are  interesting Kale Soup recipes to try ?,NAME,what are interesting <type>Kale</type> <type>Soup</type> recipes to try ?
What are essential 3-Ingredient Cheesecake ingredients?,ING,What are essential <name>3-Ingredient</name> <name>Cheesecake</name> ingredients ?
Time for boiling gingery carrot salad,TIME,Time for <method>boiling</method> <name>gingery</name> <name>carrot</name> <name>salad</name>
what kinds of japanese dishes can I prepare with corn?,NAME,what kinds of <type>japanese</type> dishes can I prepare with <ing>corn</ing> ?
green harissa recipe?,ALL,<name>green</name> <name>harissa</name> recipe ?
vegetarian quiche florentine recipe?,ALL,
"How much sugar, flour do I use for Grilled Italian Burgers?",QTY,"How much <ing>sugar</ing> , <ing>flour</ing> do I use for <name>Grilled</name> <name>Italian</name> <name>Burgers</name> ?"
All about simple bubble tea,ALL,All about <name>simple</name> <name>bubble</name> <name>tea</name>
What the heck is Jamaican Curry Chicken?,OBJ,What the heck is <name>Jamaican</name> <name>Curry</name> <name>Chicken</name> ?
How many cups of white rice need to stew andouille sausage dish?,QTY,How many cups of <ing>white</ing> <ing>rice</ing> need to <method>stew</method> <name>andouille</name> <name>sausage</name> dish ?
How long to cook Poutine Gravy?,TIME,How long to cook <name>Poutine</name> <name>Gravy</name> ?
I need 10 different recipes of Fish?,NAME,I need 10 different recipes of <type>Fish</type> ?
Please give me nutrition value of easy lasagna ii?,NUT,Please give me nutrition value of <name>easy</name> <name>lasagna</name> <name>ii</name> ?
How to cook kentucky derby pie and garden penne?,DIR,How to cook <name>kentucky</name> <name>derby</name> <name>pie</name> and <name>garden</name> <name>penne</name> ?
Need some help to cook dish swedish butter crisps?,DIR,Need some help to cook dish <name>swedish</name> <name>butter</name> <name>crisps</name> ?
What's in snickerdoodle cheesecake?,ING,What 's in <name>snickerdoodle</name> <name>cheesecake</name> ?
what cooking utensils are used in the Crock-Pot® Chicken Chili?,EQUIP,what cooking utensils are used in the <name>Crock-Pot®</name> <name>Chicken</name> <name>Chili</name> ?
Recipe for the best crispy indian okra?,DIR,Recipe for the best <name>crispy</name> <name>indian</name> <name>okra</name> ?
What are some ingredients I can use for the Perfect Healthy Meatloaf?,ING,What are some ingredients I can use for the Perfect <name>Healthy</name> <name>Meatloaf</name> ?
All information of holly's hummus dish,ALL,All information of <name>holly</name> <name>'s</name> <name>hummus</name> dish
All information of 3-Ingredient Cheesecake dish,ALL,All information of <name>3-Ingredient</name> <name>Cheesecake</name> dish
cranberry orange pancakes?,ALL,<name>cranberry</name> <name>orange</name> <name>pancakes</name> ?
How much olive oil is required for spelt pizza dough?,QTY,How much <ing>olive</ing> <ing>oil</ing> is required for <name>spelt</name> <name>pizza</name> <name>dough</name> ?
What are the required utensils for boiling iced-teani dish?,EQUIP,What are the required utensils for <method>boiling</method> <name>iced-teani</name> dish ?
List of Equip. Needed for grilling the Three-Cheese Grilled Cheese?,EQUIP,List of Equip . Needed for <method>grilling</method> the <name>Three-Cheese</name> <name>Grilled</name> <name>Cheese</name> ?
How much time should Apple Crostata dish be fried?,TIME,How much time should <name>Apple</name> <name>Crostata</name> dish be <method>fried</method> ?
How many tablespoons of cheese for preparing Bradley's Jagerbeer?,QTY,How many tablespoons of <ing>cheese</ing> for preparing <name>Bradley</name> <name>'s</name> <name>Jagerbeer</name> ?
What could I use on fried tempeh dish?,ING,What could I use on <name>fried</name> <name>tempeh</name> dish ?
chicken jambalaya i?,ALL,
what kinds of Side dishes can I make with clove?,NAME,what kinds of <type>Side</type> dishes can I make with <ing>clove</ing> ?
Utensils to bake Apple Cheese Danish?,EQUIP,Utensils to <method>bake</method> <name>Apple</name> <name>Cheese</name> <name>Danish</name> ?
Equipment list essential for boiling the Homemade Waffles?,EQUIP,Equipment list essential for <method>boiling</method> the <name>Homemade</name> <name>Waffles</name> ?
what can i do with cloves and shrimp?,NAME,what can i do with <ing>cloves</ing> and <ing>shrimp</ing> ?
I have peanuts and watermelon. Can you suggest what recipe I use to use them all?,NAME,I have <ing>peanuts</ing> and <ing>watermelon</ing> . Can you suggest what recipe I use to use them all ?
What can I mix with mustard for simmering crispy indian okra?,ING,What can I mix with <ing>mustard</ing> for <method>simmering</method> <name>crispy</name> <name>indian</name> <name>okra</name> ?
What are ingredients for the Poulet Parisienne?,ING,What are ingredients for the <name>Poulet</name> <name>Parisienne</name> ?
how is the Best Scrambled Eggs cooked?,DIR,how is the <name>Best</name> <name>Scrambled</name> <name>Eggs</name> cooked ?
How many cups of water for stewing maple-balsamic pork chops?,QTY,How many cups of <ing>water</ing> for <method>stewing</method> <name>maple-balsamic</name> <name>pork</name> <name>chops</name> ?
how is the Ropa Vieja baked?,DIR,how is the <name>Ropa</name> <name>Vieja</name> <method>baked</method> ?
Some apple salad recipes?,NAME,Some <type>apple</type> <type>salad</type> recipes ?
What are the devices for roasting easy mexican goulash?,EQUIP,What are the devices for <method>roasting</method> <name>easy</name> <name>mexican</name> <name>goulash</name> ?
"I have some butters, what are good recipes to simmer with it?",NAME,"I have some <ing>butters</ing> , what are good recipes to <method>simmer</method> with it ?"
How much time to simmer tarragon tuna salad?,TIME,How much time to <method>simmer</method> <name>tarragon</name> <name>tuna</name> <name>salad</name> ?
Do you know the recipe for Breaded Pan-Fried Salmon dish?,DIR,Do you know the recipe for <name>Breaded</name> <name>Pan-Fried</name> <name>Salmon</name> dish ?
what is fruit pizza dish?,OBJ,
Which recipes for grilling bell pepper?,NAME,Which recipes for <method>grilling</method> <ing>bell</ing> <ing>pepper</ing> ?
How much time for cooking Shrimp Fondue?,TIME,How much time for cooking <name>Shrimp</name> <name>Fondue</name> ?
Do you know how to fry quince jelly dish?,DIR,Do you know how to <method>fry</method> <name>quince</name> <name>jelly</name> dish ?
How do I grill Japanese-Style Fluffy Pancakes perfectly?,DIR,How do I <method>grill</method> <name>Japanese-Style</name> <name>Fluffy</name> <name>Pancakes</name> perfectly ?
